request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,tpot,timed_out,error
52,True,0.14351968397386372,1.7187688811682165,157,128,285,server_usage,580,0.012403536985782304,False,
53,True,0.1426351391710341,1.7200613331515342,154,128,282,server_usage,500,0.012420678692759844,False,
54,True,0.1408930798061192,1.7158177359960973,160,128,288,server_usage,591,0.012400981544802977,False,
55,True,0.14200654602609575,1.7170394761487842,155,128,283,server_usage,504,0.012401834095454239,False,
56,True,0.14135454804636538,1.716487105935812,156,128,284,server_usage,580,0.012402618566058635,False,
57,True,0.1413663411512971,1.7157578531187028,156,128,284,server_usage,473,0.012396783558798469,False,
58,True,0.17058706190437078,1.723355664871633,158,128,286,server_usage,591,0.012226524432813088,False,
59,True,0.16943384194746614,1.7224149238318205,157,128,285,server_usage,591,0.012228197495152396,False,
60,True,0.16944633494131267,1.7203984579537064,158,128,286,server_usage,600,0.01221222144104247,False,
61,True,0.16849105688743293,1.721030647866428,159,128,287,server_usage,591,0.012224721188810983,False,
62,True,0.16837430698797107,1.7203591540455818,157,128,285,server_usage,533,0.01222035312643788,False,
63,True,0.16716747591271996,1.7206716530490667,156,128,284,server_usage,589,0.012232316355404305,False,
64,True,0.02802112395875156,1.700861003017053,160,128,288,server_usage,611,0.013171967551640169,False,
65,True,0.07951679290272295,1.7160434308461845,158,128,286,server_usage,611,0.012886036519239854,False,
66,True,0.0786306147929281,1.714877976803109,157,128,285,server_usage,589,0.012883837496143156,False,
67,True,0.025569939985871315,1.698751512914896,159,128,287,server_usage,611,0.01317465805455925,False,
68,True,0.0771780910436064,1.714056520955637,155,128,283,server_usage,611,0.012888806534740399,False,
69,True,0.1451471468899399,1.727085585007444,157,128,285,server_usage,591,0.012456208174153575,False,
70,True,0.07678304682485759,1.7092286229599267,157,128,285,server_usage,540,0.012853902174291883,False,
71,True,0.07602324686013162,1.71360366884619,158,128,286,server_usage,611,0.012894334031386286,False,
72,True,0.07618146389722824,1.7101695940364152,157,128,285,server_usage,611,0.012866048268812496,False,
73,True,0.07597345300018787,1.7118591349571943,154,128,282,server_usage,592,0.012880989621708713,False,
74,True,0.07534680399112403,1.7108169838320464,155,128,283,server_usage,611,0.012877717951503326,False,
75,True,0.07449542102403939,1.7104214890860021,161,128,289,server_usage,611,0.01288130762253514,False,
76,True,0.07433944707736373,1.7093897061422467,155,128,283,server_usage,611,0.012874411488699866,False,
77,True,0.1435841249767691,1.7286529350094497,158,128,286,server_usage,483,0.01248085677191087,False,
78,True,0.13359263795427978,1.7137699010781944,156,128,284,server_usage,477,0.012442340654519013,False,
79,True,0.13302461989223957,1.7142584009561688,159,128,287,server_usage,611,0.012450659693416766,False,
80,True,0.13289312203414738,1.7162014679051936,159,128,287,server_usage,588,0.012466994849378316,False,
81,True,0.1312701569404453,1.7162216259166598,159,128,287,server_usage,589,0.012479932826584366,False,
82,True,0.1322655901312828,1.7147379231173545,159,128,287,server_usage,588,0.01246041207075647,False,
83,True,0.13158552115783095,1.7160537000745535,158,128,286,server_usage,560,0.01247612739304506,False,
84,True,0.13129600579850376,1.714772538980469,157,128,285,server_usage,588,0.012468319158913114,False,
85,True,0.12952241790480912,1.7138338820077479,156,128,284,server_usage,591,0.012474893418133376,False,
86,True,0.12913568993099034,1.7115185640286654,156,128,284,server_usage,509,0.012459707670060433,False,
87,True,0.128794576972723,1.712401095079258,154,128,282,server_usage,491,0.012469342662256182,False,
88,True,0.1711537588853389,1.7214242389891297,158,128,286,server_usage,611,0.012206854174045597,False,
89,True,0.17048330698162317,1.7215392559301108,155,128,283,server_usage,635,0.012213038968098328,False,
90,True,0.1654263180680573,1.7170137269422412,154,128,282,server_usage,590,0.012217223691922708,False,
91,True,0.16439599893055856,1.7153204698115587,157,128,285,server_usage,591,0.012212003707724411,False,
92,True,0.16329227201640606,1.714783389121294,157,128,285,server_usage,588,0.012216465489014866,False,
93,True,0.16379729192703962,1.7155116598587483,156,128,284,server_usage,473,0.012218223369541013,False,
94,True,0.16449484508484602,1.7149998771492392,158,128,286,server_usage,611,0.012208701039877111,False,
95,True,0.16351075191050768,1.7143507339060307,156,128,284,server_usage,588,0.01221133844090963,False,
96,True,0.026324870996177197,1.7130103318486363,157,128,285,server_usage,505,0.013280987880728025,False,
97,True,0.029483825899660587,1.7132492510136217,158,128,286,server_usage,611,0.013257995473338276,False,
98,True,0.08231872692704201,1.7320249029435217,158,128,286,server_usage,509,0.012989812409578581,False,
