request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,error
118,True,0.10566139686852694,21.442139549180865,2041,1024,3065,server_usage,1962,
119,True,0.12232991587370634,21.441823214292526,2041,1024,3065,server_usage,1962,
120,True,0.1879493659362197,21.55241926666349,2041,1024,3065,server_usage,3071,
121,True,0.09673228301107883,21.441025773063302,2041,1024,3065,server_usage,1962,
122,True,0.1852085990831256,21.540706063620746,2041,1024,3065,server_usage,3071,
123,True,0.14263145253062248,21.50558298546821,2041,1024,3065,server_usage,3037,
124,True,0.18430760316550732,21.54618041589856,2041,1024,3065,server_usage,3667,
125,True,0.09109694790095091,21.455126360058784,2041,1024,3065,server_usage,2918,
126,True,0.1264597987756133,21.483297766186297,2041,1024,3065,server_usage,3071,
127,True,0.2161911055445671,21.578476374968886,2041,1024,3065,server_usage,2627,
128,True,0.21820740960538387,21.577155830338597,2041,1024,3065,server_usage,2627,
129,True,0.17956513818353415,21.54467091616243,2041,1024,3065,server_usage,3667,
130,True,0.24048553500324488,21.606897871941328,2041,1024,3065,server_usage,3389,
131,True,0.21811398398131132,21.576696845702827,2041,1024,3065,server_usage,2627,
132,True,0.17722320929169655,21.529119197279215,2041,1024,3065,server_usage,3667,
133,True,0.2141623767092824,21.560918281786144,2041,1024,3065,server_usage,2627,
134,True,0.17654669750481844,21.536043759435415,2041,1024,3065,server_usage,3667,
135,True,0.08608569763600826,21.445576377213,2041,1024,3065,server_usage,2918,
136,True,0.08392151538282633,21.446793507784605,2041,1024,3065,server_usage,2918,
137,True,0.12202650401741266,21.479972367174923,2041,1024,3065,server_usage,3071,
138,True,0.11131895426660776,21.466366573236883,2041,1024,3065,server_usage,3071,
139,True,0.109625737182796,21.47990494966507,2041,1024,3065,server_usage,3071,
140,True,0.22992585320025682,21.56710304133594,2041,1024,3065,server_usage,3389,
141,True,0.12165691889822483,21.48517479840666,2041,1024,3065,server_usage,3037,
142,True,0.20226345490664244,21.57056594826281,2041,1024,3065,server_usage,2627,
143,True,0.2049637772142887,21.576827702112496,2041,1024,3065,server_usage,2627,
144,True,0.10783543903380632,21.4733520494774,2041,1024,3065,server_usage,3071,
145,True,0.16309469193220139,21.527117841877043,2041,1024,3065,server_usage,3667,
146,True,0.1619078889489174,21.516738718375564,2041,1024,3065,server_usage,3667,
147,True,0.22437075804919004,21.566456713713706,2041,1024,3065,server_usage,3389,
148,True,0.20077189709991217,21.558447420597076,2041,1024,3065,server_usage,2627,
149,True,0.20087274815887213,21.576993524096906,2041,1024,3065,server_usage,2627,
150,True,0.20125815272331238,21.54561466164887,2041,1024,3065,server_usage,2627,
151,True,0.15926825068891048,21.523298635147512,2041,1024,3065,server_usage,3667,
152,True,0.19793347641825676,21.54396097920835,2041,1024,3065,server_usage,2627,
153,True,0.20008402317762375,21.54018282983452,2041,1024,3065,server_usage,2627,
154,True,0.20051827002316713,21.564877212047577,2041,1024,3065,server_usage,2627,
155,True,0.19736758153885603,21.54198776651174,2041,1024,3065,server_usage,2627,
156,True,0.1935897609218955,21.53743384592235,2041,1024,3065,server_usage,2627,
157,True,0.19608684070408344,21.553747076541185,2041,1024,3065,server_usage,2627,
158,True,0.19539504777640104,21.55878233164549,2041,1024,3065,server_usage,2627,
159,True,0.1938271578401327,21.559414892457426,2041,1024,3065,server_usage,2627,
160,True,0.10322615411132574,21.45928018540144,2041,1024,3065,server_usage,3071,
161,True,0.09882689546793699,21.459725194610655,2041,1024,3065,server_usage,3071,
162,True,0.09312492422759533,21.450156687758863,2041,1024,3065,server_usage,3071,
163,True,0.18712597712874413,21.551526346243918,2041,1024,3065,server_usage,2627,
164,True,0.1866146232932806,21.54076098650694,2041,1024,3065,server_usage,2627,
165,True,0.21026205737143755,21.609640593640506,2041,1024,3065,server_usage,3389,
166,True,0.2085514273494482,21.691843402571976,2041,1024,3065,server_usage,3389,
167,True,0.2086506551131606,21.551992032676935,2041,1024,3065,server_usage,3389,
168,True,0.18300770688802004,21.544011996127665,2041,1024,3065,server_usage,2627,
169,True,0.17238779179751873,21.70492245722562,2041,1024,3065,server_usage,3389,
170,True,0.11349383648484945,21.735088106244802,2041,1024,3065,server_usage,3389,
171,True,0.04708043206483126,22.35193189047277,2041,1024,3065,server_usage,3400,
172,True,0.058059925213456154,22.38837417215109,2041,1024,3065,server_usage,3400,
173,True,0.043416005559265614,22.475861215032637,2041,1024,3065,server_usage,3400,
174,True,0.044713075272738934,22.546136657707393,2041,1024,3065,server_usage,3400,
175,True,0.07147837709635496,22.573907259851694,2041,1024,3065,server_usage,3400,
176,True,0.04174396954476833,22.607494379393756,2041,1024,3065,server_usage,3400,
177,True,0.056079416535794735,22.675207048654556,2041,1024,3065,server_usage,3400,
178,True,0.060742272064089775,22.761832581833005,2041,1024,3065,server_usage,3400,
179,True,0.03990237321704626,22.786626380868256,2041,1024,3065,server_usage,3400,
180,True,0.04280930384993553,22.84464544057846,2041,1024,3065,server_usage,3400,
181,True,0.042581274174153805,22.897479377686977,2041,1024,3065,server_usage,3400,
182,True,0.06889065634459257,23.128613324835896,2041,1024,3065,server_usage,3176,
183,True,0.044277616776525974,23.16034269798547,2041,1024,3065,server_usage,3176,
184,True,0.05554010160267353,23.20308663882315,2041,1024,3065,server_usage,3400,
185,True,0.05228452663868666,23.606534557417035,2041,1024,3065,server_usage,3481,
186,True,0.05358779802918434,23.698803270235658,2041,1024,3065,server_usage,3176,
187,True,0.05396967753767967,23.783440480940044,2041,1024,3065,server_usage,3400,
188,True,0.0547892302274704,23.818280396983027,2041,1024,3065,server_usage,3400,
189,True,0.03823803272098303,23.94737033545971,2041,1024,3065,server_usage,3415,
190,True,0.05326290614902973,24.166038010269403,2041,1024,3065,server_usage,3440,
191,True,0.03323649801313877,24.26073729712516,2041,1024,3065,server_usage,3405,
192,True,0.08253962360322475,21.43323703482747,2041,1024,3065,server_usage,3928,
193,True,0.06576890219002962,21.444074239581823,2041,1024,3065,server_usage,2938,
194,True,0.07015062868595123,21.442591851577163,2041,1024,3065,server_usage,2938,
195,True,0.06340781785547733,21.438745240680873,2041,1024,3065,server_usage,2938,
196,True,0.06520808767527342,21.439447884447873,2041,1024,3065,server_usage,2938,
197,True,0.06767419818788767,21.44270560517907,2041,1024,3065,server_usage,3412,
198,True,0.0869193347170949,21.445257947780192,2041,1024,3065,server_usage,3312,
199,True,0.08310234174132347,21.445063280873,2041,1024,3065,server_usage,3312,
200,True,0.08935628179460764,21.441981212235987,2041,1024,3065,server_usage,3312,
201,True,0.06690110173076391,21.440347507596016,2041,1024,3065,server_usage,3312,
202,True,0.16257716808468103,21.554806219413877,2041,1024,3065,server_usage,2813,
203,True,0.1302483668550849,21.520098832435906,2041,1024,3065,server_usage,3180,
204,True,0.10050506331026554,21.49153272435069,2041,1024,3065,server_usage,3055,
205,True,0.1291669523343444,21.521878231316805,2041,1024,3065,server_usage,3180,
206,True,0.10151908081024885,21.494807867333293,2041,1024,3065,server_usage,3055,
207,True,0.12616276927292347,21.51971875783056,2041,1024,3065,server_usage,3180,
